"from_schema";"from_table";"from_col";"to_schema";"to_table";"to_col";"constraint_name"
"partner";"to_delete__remont_master_tab";"team_master_id";"partner";"team_master_tab";"team_master_id";"remont_master_tab_team_master_id_fkey"
"partner";"to_delete__remont_master_tab";"work_set_id";"public";"work_set_tab";"work_set_id";"remont_master_tab_work_set_id_fkey"
"partner";"work_report_tab";"contractor_main_id";"partner";"contractor_main_tab";"contractor_main_id";"work_report_tab_fk"
"partner";"work_report_tab";"work_id";"partner";"work_tab";"work_id";"work_report_tab_fk1"
"partner";"work_tab";"work_pid";"partner";"work_tab";"work_id";"work_tab_fk"
"partner";"work_tab";"work_unit_id";"partner";"work_unit_tab";"work_unit_id";"work_tab_fk1"
"partner";"work_tab";"stage_id";"public";"stage_tab";"stage_id";"work_tab_fk2"
"partner";"work_tab";"work_set_id";"public";"work_set_tab";"work_set_id";"work_tab_fk3"
"provider";"notification_tab";"employee_id";"admin";"employee_tab";"employee_id";"notification_tab_fk"
"provider";"notification_tab";"notification_type_id";"provider";"notification_type_tab";"notification_type_id";"notification_tab_fk1"
"provider";"notification_tab";"remont_id";"public";"remont_tab";"remont_id";"notification_tab_fk2"
"public";"abs_material_item_tab";"abs_material_id";"public";"abs_material_tab";"abs_material_id";"abs_material_item_tab_fk"
"public";"abs_material_item_tab";"material_id";"public";"material_tab";"material_id";"abs_material_item_tab_fk1"
"public";"abs_material_tab";"material_set_id";"public";"material_set_tab";"material_set_id";"abs_material_tab_fk"
"public";"abs_material_tab";"material_set_id";"public";"material_set_tab";"material_set_id";"abs_material_tab_fk1"
"public";"accept_wait_tab";"remont_id";"public";"remont_tab";"remont_id";"accept_wait_tab_fk"
"public";"act_remarks_history_tab";"act_id";"public";"client_request_document_tab";"client_request_document_id";"act_fk"
"public";"act_remarks_history_tab";"act_id";"public";"client_request_document_tab";"client_request_document_id";"act_fk"
"public";"act_remarks_history_tab";"act_id";"public";"client_request_document_tab";"client_request_document_id";"act_fk"
"public";"act_remarks_history_tab";"act_id";"public";"client_request_document_tab";"client_request_document_id";"act_fk"
"public";"act_remarks_history_tab";"act_id";"public";"client_request_document_tab";"client_request_document_id";"act_fk"
"public";"act_remarks_history_tab";"act_id";"public";"client_request_document_tab";"client_request_document_id";"act_fk"
"public";"act_remarks_history_tab";"act_id";"public";"client_request_document_tab";"client_request_document_id";"act_fk"
"public";"act_remarks_history_tab";"act_id";"public";"client_request_document_tab";"client_request_document_id";"act_fk"
"public";"act_remarks_history_tab";"act_id";"public";"client_request_document_tab";"client_request_document_id";"act_fk"
"public";"act_remarks_history_tab";"act2_id";"public";"client_request_document_tab";"client_request_document_id";"back_act_fk"
"public";"act_remarks_history_tab";"act2_id";"public";"client_request_document_tab";"client_request_document_id";"back_act_fk"
"public";"act_remarks_history_tab";"act2_id";"public";"client_request_document_tab";"client_request_document_id";"back_act_fk"
"public";"act_remarks_history_tab";"act2_id";"public";"client_request_document_tab";"client_request_document_id";"back_act_fk"
"public";"act_remarks_history_tab";"remont_id";"public";"remont_tab";"remont_id";"remont_fk"
"public";"act_remarks_history_tab";"remont_id";"public";"remont_tab";"remont_id";"remont_fk"
"public";"act_remarks_history_tab";"remont_id";"public";"remont_tab";"remont_id";"remont_fk"
"public";"act_remarks_history_tab";"remont_id";"public";"remont_tab";"remont_id";"remont_fk"
"public";"act_remarks_history_tab";"remont_id";"public";"remont_tab";"remont_id";"remont_fk"
