"table_schema";"table_name";"column_name";"data_type";"character_maximum_length";"is_nullable";"column_default";"column_description"
"admin";"employee_tab";"mobile_token";"character varying";250;"YES";"null";"Токен из мобильного приложения"
"admin";"employee_tab";"company_id";"integer";null;"YES";"null";"null"
"admin";"employee_tab";"phone";"character varying";50;"YES";"null";"Телефон сотрудника"
"admin";"employee_tab";"image_url";"text";null;"YES";"null";"Аватарка"
"admin";"employee_tab";"image_url_orig";"text";null;"YES";"null";"Аватар оригинал"
"admin";"employee_tab";"is_show_all_remonts";"integer";null;"NO";"0";"Показывать все ремонты для данной должности"
"admin";"employee_tab";"is_write_chat_message";"integer";null;"NO";"1";"Может ли пользователь писать в чат (1 - да, 0 - нет)"
"admin";"employee_tab";"mobile_token_id";"character varying";50;"YES";"null";"Первые 10 символов от mobile"
"admin";"employee_tab";"sh_contractor_id";"integer";null;"YES";"null";"Подрядчик УД"
"admin";"employee_tab";"is_kpi";"integer";null;"YES";"0";"Возможность проставлять KPI"
"admin";"employee_tab";"is_only_read";"integer";null;"NO";"0";"1 - пользователь только для чтения
0 - обычный наш пользователь"
"admin";"employee_tab";"is_subscribe";"integer";null;"NO";"1";"Подписан ли пользователь на уведомления
0 - не подписан, 1 - подписан"
"admin";"employee_tab";"application_code";"character varying";50;"YES";"null";"На какое приложение отправлять пуш уведомление"
"admin";"employee_tab";"guid";"character varying";250;"YES";"null";"ГУИД для хантеров в 1С"
"admin";"employee_tab";"supplier_id";"integer";null;"YES";"null";"null"
"admin";"employee_tab";"crm_role_id";"integer";null;"YES";"null";"Роль CRM"
"admin";"employee_tab";"auth_token";"character varying";250;"YES";"null";"Токен для моб. приложении (Smart бригадир, Smart мастер)"
"admin";"employee_tab";"techproject_developer_id";"integer";null;"YES";"null";"Если пользователь является разработчиком тех проекта, то указываем разработчика тех проекта"
"admin";"employee_tab";"warehouse_id";"integer";null;"YES";"null";"Склад сотрудника"
"admin";"employee_tab";"process_id";"character varying";150;"YES";"null";"null"
"admin";"employee_tab";"cleaning_id";"integer";null;"YES";"null";"Если пользователь контрагент клининга"
"admin";"employee_tab";"is_superuser";"boolean";null;"YES";"null";"null"
"admin";"employee_tab";"is_internal";"boolean";null;"YES";"null";"null"
"admin";"employee_tab";"juridic_type";"integer";null;"YES";"null";"1 ИП, 2 ТОО"
"admin";"employee_tab";"phone_number";"character varying";50;"YES";"null";"null"
"admin";"employee_tab";"smart_filial_id";"integer";null;"YES";"null";"null"
"admin";"employee_tab";"city_id";"integer";null;"YES";"null";"null"
"admin";"employee_tab";"partner_id";"integer";null;"YES";"null";"null"
"admin";"employee_tab";"company_name";"character varying";100;"YES";"null";"null"
"admin";"employee_tab";"bin";"character varying";15;"YES";"null";"null"
"admin";"employee_tab";"juridic_address";"character varying";500;"YES";"null";"null"
"admin";"employee_tab";"bank_name";"character varying";250;"YES";"null";"null"
"admin";"employee_tab";"bank_account_num";"character varying";40;"YES";"null";"null"
"admin";"employee_tab";"bik";"character varying";15;"YES";"null";"null"
"admin";"employee_tab";"buh_fio";"character varying";100;"YES";"null";"null"
"admin";"employee_tab";"buh_phone";"character varying";30;"YES";"null";"null"
"admin";"employee_tab";"is_staff";"boolean";null;"YES";"null";"null"
"admin";"employee_tab";"bpm_position_id";"integer";null;"YES";"null";"null"
"admin";"employee_tab";"telegram_chat_id";"character varying";50;"YES";"null";"Чат ID Телеграм чата(Бот)"
"admin";"employee_tab";"camunda_id";"character varying";50;"YES";"null";"ID сотрудника в camunda"
"admin";"employee_tab";"sale_point_id";"integer";null;"YES";"null";"Отдел сотрудника ОП"
"admin";"employee_tab";"sign_fio";"character varying";100;"YES";"null";"ФИО подписывающего лица"
"admin";"employee_tab";"sign_type";"integer";null;"YES";"null";"Подписант
1 - Первый руководитель
2 - Доверенное лицо"
"admin";"employee_tab";"is_black_list";"boolean";null;"YES";"null";"null"
"admin";"employee_tab";"black_list_comment";"character varying";250;"YES";"null";"null"
"admin";"employee_tab";"last_failed_login_date";"timestamp without time zone";null;"YES";"null";"время последней неудачной авторизации"
"admin";"employee_tab";"failed_login_cnt";"integer";null;"YES";"null";"Кол-во неудачных попыток авторизации"
"admin";"employee_tab";"contractor_main_id";"integer";null;"YES";"null";"null"
"admin";"employee_tab";"failed_code_cnt";"integer";null;"YES";"null";"Кол-во неудачных попыток ввода кода доступа"
"admin";"employee_tab";"bitrix_user_id";"integer";null;"YES";"null";"ID пользователя в Bitrix"
"admin";"employee_tab";"is_from_bitrix";"integer";null;"NO";"0";"Признак создания пользователя из bitrix"
"admin";"employee_tab";"telegram_chat_knb_id";"character varying";50;"YES";"null";"ID пользователя в чате телеграм(канбан)"
"admin";"employee_tab";"date_deactivation";"date";null;"YES";"null";"Дата деактивации сотрудника"
"admin";"employee_tab";"comment";"text";null;"YES";"null";"null"
"admin";"employee_tab";"department_id";"integer";null;"YES";"null";"к какому отделу относится сотрудник"
"admin";"employee_tab";"fulfillment_id";"integer";null;"YES";"null";"null"
"admin";"employee_tab";"sale_department_id";"integer";null;"YES";"null";"null"
"admin";"employee_tab";"last_reset_password_date";"timestamp without time zone";null;"YES";"null";"Время последнего сброса пароля"
"admin";"employee_tab";"reset_password_cnt";"integer";null;"YES";"null";"Количество сбросов пароля"
"admin";"employee_tab";"team_master_id";"integer";null;"YES";"null";"null"
"admin";"employee_tab";"office_id";"integer";null;"YES";"null";"null"
"admin";"employee_tab";"selected_module_id";"integer";null;"YES";"null";"null"
"admin";"employee_tab";"password_recovery";"character varying";50;"YES";"null";"null"
"admin";"employee_tab";"password_recovery_link";"character varying";1 000;"YES";"null";"null"
"admin";"employee_tab";"last_remont_empty_date";"date";null;"YES";"null";"Последняя дата, начиная с которой у пользователя нет активных ремонтов в системе. Нужно для блокировки"
"admin";"employee_tab";"script_info";"text";null;"YES";"null";"null"
"admin";"employee_tab";"selected_company_id";"integer";null;"YES";"null";"null"
"admin";"employee_tab";"iin";"character varying";24;"YES";"null";"null"
"admin";"employee_taxopark_tab";"employee_taxopark_id";"integer";null;"NO";"nextval('admin.employee_taxopark_tab_employee_taxopark_id_seq'::regclass)";"Какие таксопарки видит пользователь"
"admin";"employee_taxopark_tab";"employee_id";"integer";null;"NO";"null";"null"
"admin";"employee_taxopark_tab";"taxopark_id";"integer";null;"NO";"null";"null"
"admin";"employee_taxopark_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"admin";"employee_view";"employee_id";"integer";null;"YES";"null";"null"
"admin";"employee_view";"email";"character varying";100;"YES";"null";"null"
"admin";"employee_view";"passwd";"character varying";50;"YES";"null";"null"
"admin";"employee_view";"fio";"character varying";100;"YES";"null";"null"
"admin";"employee_view";"is_active";"integer";null;"YES";"null";"null"
"admin";"employee_view";"last_login";"timestamp without time zone";null;"YES";"null";"null"
"admin";"employee_view";"rowversion";"timestamp without time zone";null;"YES";"null";"null"
"admin";"employee_view";"provider_id";"integer";null;"YES";"null";"null"
"admin";"employee_view";"okk_id";"integer";null;"YES";"null";"null"
"admin";"employee_view";"contractor_id";"integer";null;"YES";"null";"null"
"admin";"employee_view";"inner_master_id";"integer";null;"YES";"null";"null"
"admin";"employee_view";"position_id";"integer";null;"YES";"null";"null"
"admin";"employee_view";"position_code";"character varying";null;"YES";"null";"null"
"admin";"employee_view";"position_name";"character varying";50;"YES";"null";"null"
"admin";"employee_view";"is_kpi";"integer";null;"YES";"null";"null"
"admin";"employee_view";"is_only_read";"integer";null;"YES";"null";"null"
"admin";"employee_view";"crm_role_id";"integer";null;"YES";"null";"null"
"admin";"employee_view";"crm_role_code";"character varying";50;"YES";"null";"null"
"admin";"employee_view";"crm_role_name";"character varying";300;"YES";"null";"null"
"admin";"employee_view";"warehouse_id";"integer";null;"YES";"null";"null"
"admin";"employee_view";"primary_employee_id";"text";null;"YES";"null";"null"
"admin";"employee_view";"token";"text";null;"YES";"null";"null"
"admin";"front_employee_token_tab";"front_employee_token_id";"bigint";null;"NO";"nextval('admin.front_employee_token_tab_front_employee_token_id_seq'::regclass)";"null"
"admin";"front_employee_token_tab";"employee_id";"integer";null;"NO";"null";"null"
"admin";"front_employee_token_tab";"client_request_id";"integer";null;"YES";"null";"null"
"admin";"front_employee_token_tab";"token";"character varying";null;"NO";"null";"null"
"admin";"front_employee_token_tab";"token_exp";"bigint";null;"YES";"null";"null"
"admin";"front_employee_token_tab";"rowversion";"timestamp without time zone";null;"NO";"now()";"null"
"admin";"front_employee_token_tab";"crm_deal_id";"integer";null;"YES";"null";"null"
